Blog Post,Author Number
"Well, everyone got up and going this morning.  It's still raining, but that's okay with me.  Sort of suits my mood.  I could easily have stayed home in bed with my book and the cats.  This has been a lot of rain though!  People have wet basements, there are lakes where there should be golf courses and fields, everything is green, green, green.  But, it is supposed to be 26 degrees by Friday, so we'll be dealing with mosquitos next week.  I heard Winnipeg described as an ""Old Testament"" city on  urlLink CBC Radio One  last week and it sort of rings true.  Floods, infestations, etc., etc..",1
"My four-year old never stops talking.  She'll say ""Mom?"" and when I say ""Yes?"", she'll say ""Ummm.... ummm... oh yeah.  Where do lady bugs hide in the rain?""  Anything to hear her own voice. Very, very exhausting.    Now I remember!  This is why I go to work!   *Sigh*",1
"Actually it's not raining yet, but I bought 15 tickets to the  urlLink Goldeyes  game for my Mom's birthday tonight, and it is supposed to rain.  Do they cancel baseball games because of rain?  Although the ballpark is beautiful, it ain't the  urlLink SkyDome .  We used to go to the Jays games occassionally when we lived in Toronto and really like taking the kids to the Goldeyes games now.  I don't know what  urlLink Blue Jays  tickets cost now, but I'm sure it's cheaper here in Winnipeg.  Oh, I just checked and it  definitely  is!",1
"Ha! Just set up my RSS feed - that is so easy!  Why doesn't everyone do it?  Enough for today.  The sun is shining and I should be outside planting my poor flowers (that have spent far too long in their pots) but I have 3 kindergartners and a preschooler who are refusing to go outside.  Little gameboy junkies...  I should talk!  Last post today, I promise.",1
"Oh, which just reminded me, we were talking about canning food at coffee break this morning.  Is this becoming a lost art?  Are there any people under 40 who know how to do this?  Those of us at coffee that fall in that age range couldn't.  What would happen if the world as we know it ceased to exist (a la  urlLink Day After Tomorrow  which is only being released today and I can't wait to see - I love a good escapist picture with lots of special effects) and we had to preserve our food somehow?  Well, we in Canada definitely would need to preserve our food.  I found lots of sites on canning, including  urlLink this one , but I guess that wouldn't help me much if everything went. Better print it out and keep it just in case!",1
"I've tried starting blog after blog and it just never feels right.  Then I read today that it feels strange to most people, but the more you do it the better it gets (hmm, sounds suspiciously like something else!) so I decided to give it another try.    My husband bought me a notepad at  urlLink McNally  (the best bookstore in Western Canada) with that title and a picture of a 50s housewife grinning desperately.  Each page has something funny like ""New curtains!  Hurrah!"".  For some reason it struck me as absolutely hilarious and has stuck in my head ever since.  What were those women thinking?",1
"My 20th high school  urlLink reunion  is this weekend.  There are over 100 people coming, so it should be a good time.  Lots of names from the past.  Funny, I barely ever run into anyone, and yet a lot are still in the city.",1
"We always have pizza on Friday nights.  It takes the stress out of ""what am I going to make for dinner"" and the kids look forward to it.  In fact, many of their friends look forward to it too!  But tonight we are having a family gathering at my mom's and I've offered to make pizza for all the kids.  So I've been madly making dough in my breadmaker (which is very easy but still needs to be done) and freezing it.  Now I have to go home and cut vegetables for the vegetarian cousins' pizzas and grate a huge amount of cheese.  Then I'll have to cart it all over to my mom's without wrecking the crusts.   It is not the usual relaxing Friday night, but this hasn't been a relaxed week at all.",1
"Okay, I saw it this past weekend.  Not as good as Independence Day for sure.  Better than Raising Helen which I also saw.  Yes, two movies in one weekend!  One was with book club, and one was with my husband since we hadn't been out together forever.  Guess which was with whom...",1
"I've been cataloguing film scripts at work.  What fun!  I have to look a lot of the writers up on the  urlLink IMDB .  What a great database!  I read somewhere that there were lots of mistakes in there, but given the absolutely huge amount of information, it is bound to happen.  And everything links!  I love it.  Library catalogues should be so good.    Best of all is getting a little sneak peek into people's lives.  Just enough to get your imagination going...",1
"Paul Martin promised today that if he is elected he will create 250,000 new affordable child care spaces.  I think they promised something like that last time around too.  But if they really want to do something for working women, they should make it easier for women to work and be with their families.  An affordable child care space would be helpful, but I want to spend more time with my children, so I need more flexible working arrangements.  Instead of a year's maternity leave, what if they made it mandatory for employers to allow women five years of part-time work.  If we worked at least 50% they should have to hold our jobs for us.  I think that would appeal to a lot of moms.  And then there would be a lot of part-time child care spaces too, which are  impossible  to find right now.    Yes, I'm still pondering quitting my job.  It seems to me to be ineveitable now... just a question of when.",1
"No, I still haven't seen it, but apparently it is  urlLink not so good   unless  you are a librarian.  Ha!  I am!",1
"Well, it's over!  It was good to see so many people.  Most haven't changed much, but some have changed a great deal.  Funny how things that were important in high school no longer are.    Anyway, it is over and I'm glad.  I was very, very tired all week and am glad that I had 4 days off to snooze a bit.",1
"The astute among you will note that this run is a minute shorter than the 5th one.  This run was three minutes running, one minute walking--which is much harder than the previous run-walk ratio.  I was feeling good until the 4th repetition, which was difficult, and I really struggled through the 5th one.  Tonight I noticed a very odd sensation.  While I was happy to take the little walking breaks, I found that the moment I started running again after each break my legs felt really invigorated.  I'm sure there's some clever scientific name for this phenomenon.  However, I'm also sure there's  no  clever scientific name for the fact that I'm really, really glad tonight's run is over.",2
"So the pressing question was whether I should increase my total running time or decrease my walking time.  Since the schedule I'm following says to increase running time, I decided to do that.  They're the experts, after all--I'm just the one in the expensive shoes.  While today didn't exactly feel what I would call ""good,"" it didn't feel bad either.  Actually, after my third repetition I felt like a million bucks; after my fourth, I flagged a bit.  But I made it through to my 7th repetition without feeling like my lungs were inside out.  I probably could have done 8 repetitions, if the truth be told, but I'm sure I'll regret saying that on Wednesday.  Jon has just decided to go on a health kick too; he says that he's going to join me in running.  I think I might be a little bit too slow for him.  Today I definitely felt like a jogger rather than a runner--I think it has to do with the massive amount of crap (chocolate syrup, ice cream, crisps, pizza, etc.) I've been eating over the past couple of days.",2
"I can assure you that it was not laughably easy.  It wasn't as hard as last time, but it still felt pretty painful.  I didn't start thinking I was going. to. die. until the 4th repetition, at which point I again told myself that I was only going to do 5 repetitions.  I even had all sorts of excuses figured out: I was running at midday in the sun; I was running in the park on uneven ground, I was feeling vaguely hung-over.  But in the end it was the thought of coming here and writing down the fact that I had wussed out that made me do the 6th repetition.  Now I have the reward of a hot bath.",2
"Tonight I decided to decrease the walking time between the periods of running.  I did 2 minutes on, one minute off, repeated 6 times.  After the first 2 repetitions, I felt like I was going. to. die.  But the middle two were fine; I was on top of the world.  I considered only doing 5 repetitions, but when I finished the 5th, I was further away from my house than I expected, so I slogged on to a 6th.  The 6th repetition was a real struggle.  I was literally forcing myself to put one foot in front of the other.  The knowledge of a hot bath was the only thing that kept me going.  Then I had to run past my house to finish out the time.  Psychologically, I found that upsetting.  I also find the people on the sidewalks upsetting.  I have this paranoid fantasy that all people who see me running are runners themselves, and they're critiquing me.  When I'm feeling slow and down, I find that forcing myself into a sprint helps me get past it.  Even though I'm not a fast runner by any means, I prefer to run at speed rather than to jog.  I'm not sure if this was a struggle because I didn't run for over a week, or if it was because it was genuinely more difficult than my last run.  Anyway, I'm sure I'll laugh at myself on Saturday when I go out and do the same run again and I find it laughably easy.",2
"I spent a long weekend in Edinburgh, doing more walking around than usual, but not doing any running.  In the meantime, however, my knee felt fantastic.  After the ACL surgery I lost most of my muscle tone, which meant that my kneecap wasn't tracking properly, which led to some clicking and aching when walking, especially when walking down steps.  Now, after only two runs, I can feel a real difference in the way my knee feels when going down stairs.  It's almost normal, which is something I don't take for granted.",2
"Tonight I did the 2 minutes running, 2 minutes walking deal (repeated 4 times), which is the recommended first run for 10 training according to the schedule I've decided to use.  I have to admit that it was far too easy.  I came in the house having not even broken a sweat.  Because it was so easy, I'm not sure whether to increase the overall time out or decrease the in-between walking times.  There seem to be definite advantages and disadvantages to both.",2
"My initial plan was to start on a basic 10k training schedule,  urlLink as described here .  However, tonight--my first night out--was still a little bit of a tester, so I ran for 1 minute, walked for 1 minute, and repeated that 6 times.  It was reasonably hard work, but it wasn't anything scary, and my knee felt fine.  I feel that I am ready to move onto the proper 10k training schedule.",2
"Whoever reads this (if there is anyone) might think I'm not taking this running thing very seriously.  I am, believe me, but you have to understand that the past few weeks and the next few weeks are full up.  There are plenty of nights where I get 5 hours of sleep because I'm busy doing things I must do (and there's precious little reading or watching TV going on), then the next day I'm shattered because I only got 5 hours of sleep.  Fitting in half an hour of running, while technically feasible, is not always an incredibly attractive option.  Cycling, however, is a happy medium.  But I have been afraid to cycle recently for two reasons:  1) Last October, running + cycling really made my knee hurt.  Running was ok, but cycling actually caused my knee to react so badly that I couldn't run anymore.  2) My chain is rusty.  I've been running (if you can call it that) for a few weeks with no bad reaction from my knee at all, so I thought tonight I would give cycling a go.  On closer inspection my chain wasn't too bad (though I probably should replace it), so I braved it.  Because I haven't cycled in a while and I was worried that either my knee or my chain would break, I didn't go too far afield, and only did half an hour.  It's not particularly hard work for me, even on the hardest gears, and it's an excellent opportunity to make my left leg work harder (because I would estimate that my left leg is only about 80% as strong as my right leg now).  We shall see how my knee reacts, but I'll probably be cycling more if it's ok.",2
"I'm amazed that, even being so lazy as to go out only once a week for the past couple of weeks, I've managed to improve each week.  Today I ran for 7 minutes, walked for 2, ran for 4, walked for 2, and ran for 7.  That's what 7 (2) 4 (2) 7 means in the subject line.  I think that makes more sense than trying to reckon up the fraction each time.  I mean, really.  What was I thinking?  So tonight was eventful.  I didn't mention it in my last post, but last week someone actually  stopped me to ask for directions  while I was running--while there were  other people  around.  I wrote it off to the absurdity that is present in everyday society, but today, as I ran towards an elderly man who was carrying his dog, he asked me, ""Are you jogging?""  Of course I am!  Do I look like I'm, for example, fishing?  Could the direction-asker and the elderly man really not tell?  Do I just look like I'm going for a leisurely stroll?  Then, as I was running along on the sidewalk next to the park, a snivelling brat kicked his football at me, hard.  I don't think he appreciated it when I called him a ""little prick.""  But he was.  I hope he falls out of a tree and breaks his ankle in three places.  I now have comments, so if you feel the need to tell me what a heartless, child-hating bitch I am, please feel free.  I like these new Blogger templates; they're pretty.",2
"I know, it was a week.  I am trying.  (""You can say that again, ha ha!"")  (Ahh, do you see what I did there?: I used the word ""trying"" as a verb, and then pretended that someone else implied that it was used as an adjective.  Ahhhh!)  Anyway, so when I went out, I said to myself, ""Self, why not just run until you really feel like you have to stop, instead of adhering rigidly to this schedule?""  So I did.  And I ran for 6 minutes.  Now, I wasn't really all that tired after 6 minutes (compared to the last 6 minutes I did, anyway).  It's not my legs that complain, and I don't get cramps in my sides or anything.  The main problem that makes me have to stop is my chest/lungs aching.  I've always been this way and thought it was normal, but  urlLink this page says it's not .  Hmmm.  So I had to walk for 2 minutes until my lungs stopped aching, then I did 4 minutes running again, then 2 minutes walking, then the final 6 minutes running.  If you're thinking that a full 20 minutes of running shouldn't be that hard to achieve, remember that I've been totally,  totally  inactive for a year.",2
"I think that running is akin to childbirth in some respects (not that I've ever given birth): while you're doing it, it's painful and terrible and you can't imagine ever doing it again, not in a million years, and you curse the bastard that got you into it in the first place (in running's case, yourself).  But then it's over, and you have a shower, and you sit down to blog about it, and it feels great.  Running, that is.  My analogy ended in the first paragraph.  You weren't still trying to make it work for this one, were you?  Anyway, I didn't do myself any favors by not running for nearly a week.  In case you're curious, a combination of factors including illness, DIY-mania, and heavy rain contributed to my sloth.  Tonight I went out thinking, ""Do I really have to bother with the run-walk nonsense?  Can't I just run out for 10 minutes, then run back for 10 minutes?""  The answer is no.  I did the same run as before, and by the end of the second repetition I looked over at my house (which faces the park) and seriously considered running home right then, jumping the fence, and going in the back door.  Then I remembered that my back door was locked (safety first, kids!) and that in order to get home I'd have to go back the way I came, round the corner, and down the road again.  And by the time I thought of all the logistics, my repetition was over.  Later, something funny happened on my 4th repetition: I started running, and suddenly the 3 minutes was over, just like that.  I thought I must have shortchanged myself or read my watch wrong, but no: it just went like a hot knife through butter.  Mmmm, butter.  Ahh, that's the other thing.  I haven't had much food today, which might have contributed to my near crash early in the run.  I tried to eat a toasted bacon and guacamole sandwich for lunch, but someone really needs to tell the ladies in the canteen that guacamole should only be served ice cold.  Hot guacamole is nastified.  Oh well, at least there were pink wafers in the tea room.",2
"I haven't just dropped off the face of the earth.  I went on holiday to the US, where it would be almost rude to exercise.  I'm back now, and as soon as I'm over my jetlag I'll be back in the saddle/running shoes.",2
"Run Along Now has moved  urlLink over here !  It's a community, so feel free to join if you are also feeling fit.",2
"You love me... I have you here by my side... Our hearts overflow with happiness and love for each other... That's all that matters to me now... Sorry I ever doubted you and your love... I just don't feel too special anymore... Maybe i'm not the one you should love... Maybe you're beside the wrong person... Maybe you could have been happier with her... I'm not that special, you know...      (as if on cue, i hear ""our"" songs play on my winamp)     WHAT THE FUCK AM I SAYING?!?!?   YOU LOVE ME...  I HAVE YOU HERE BY MY SIDE...  OUR HEARTS OVERFLOW WITH HAPPINESS     AND     LOVE FOR EACH OTHER...      THAT'S ALL THAT MATTERS TO ME NOW...  SORRY I EVER DOUBTED YOU AND YOUR LOVE...               i truly am sorry, baby... our bestfriend PARANOIA paid me a visit...",3
"""...Thanks to you now I know   all my dreams can come true...       ...And i'm not sure I deserve a woman so true   but I love that you think I do...       ...I've got BLIND FAITH in you...""       You sang these words to me as if only me could have made your life complete, as if only me could have made such difference...      I wonder if you knew that YOU are the one who turned my life around and showed me who I really am..  ...That I was afraid of dreaming and never really believed in dreams, until you came and showed me that dreaming can be beautiful and making them come true is worth all the pain that we might go through...  ...That with you by my side, life can throw her worst shit at me, and i'll just show her my finger and laugh at her face...  ...That you literally brought back the real me from a world where showing my true colors cost too much...  ...That with your ""blind faith,"" i see more...       ...That whatever i say wouldn't amount to what i feel for you AND how you make me feel...    I wonder if you know how much i love you...",3
http://www.kingsofchaos.com/recruit.php?uniqid=jm8bja2z,3
"My first blog...   Here at my workplace.. Got lots to do, but don't know where to start...  My mind's gone blank... Need some coffee...",3
"Yes i survived not eating for 24 hours, I am glad I don't live in a 3rd world country. It was fun, got to chill with folks don't get to hang out with since the start of the school year. It was fun.",4
i'm gonna work on my around the world today and hopefully get half of the paper done. Then i am going to the 20 hour famine at my church.,4
"i promise that we won't have school tomorrow, which gives me time to work on around the world.   Everyone needs to watch the oc and chappelle's show.",4
"Just got out of school, hopefully there will be no school tomorrow so i can work on my paper and go to the famine.",4
"Hopefully it will snow. Thanks to everyone who signed up for the message board. Well i have to go to school, who knows maybe we'll get out early.",4
"got the board up, now i got to see if people will sign up.",4
"I got cut, oh well guess I'm just gonna go get a job.",4
"I am done with my chem project, first to turn in the project also, now i have to work on around the world, planning on starting it on teusday, not gonna take a while compaired the chem one.",4
"Ralph, if you really wanted to de-throne Bush you'de stay out and let my boy Kerry do the work, but now you've made it just that much harder.",4
"Tomorrow I'm playing Wolla, holla. i should be a rapper.",4
"Can't play any tennis, can't get up with Chris Wolla. Guess i'll just chill and watch a movie, might even go see one, but i doubt it.",4
"No practice, off to work on the chem project.    From College Humor   Tennagers guide to picking a AIM screen name  Whether you're sending e-mails or chatting with friends, an essential to using the internet is having a screen name that tells people who you are. Here are some suggestions to help you pick out an awesome name!   AE or AF - Use these acronyms for American Eagle and Abercrombie and Fitch. This will show people that you have rich parents and therefore, you are rich as well. And everyone knows that if you are rich and wear Abercrombie and Fitch, then you are very attractive.   Examples: AE_girl04, AF_snowboard19   420 - Putting 420 after a screen name will show people that you are rebellious and are cool because you do drugs. They won't ever mess with you, and girls will flock to you because you are bad.   Examples: Sublimegirl420, sk8er420   69 - This shows that you obviously have sex, A LOT. Others that see this will want to have sex with you because you know all about it.   Examples: Sexystud69, badazz6969   666 - Use this to scare away people. They will see how mighty and evil you are, and they will fallback in fear.   Examples: Death666, NeoMatrix666  ""chic"" - Guys are very attracted to girls who but ""chic"" somewhere in their screen name. This shows you are hot and want to have a boyfriend who likes to play computer games all day and collect Star Wars toys.   Example: tightchic13f, cute_chic02   ""sexy"" - Guys go crazy when you put on this screen name. It says ""I'm a really attractive girl that wants to have sex with a guy I meet online."" You can be uglier than Chelsea Clinton, but with this on your SN, you'll come across as Brittany Spears.   Examples: Sexy18f, Sexyskatergirl   ""gurl"" - Using ""gurl"" in your screen name shows that you are the cute girl that lives next door type. It makes you sound very nice, but also a target of weird 40-year old sexual predators.   Examples: fun_gurl_2003, pony_gurl82   ""horny"" - This shows that you are a 40-year old sexual predator that wants to find a young boy or girl to lure in and abduct at the local mall.   Examples: Horny_babe_696969, Horny4u",4
"Well it didn't rain like Clingerman said it did, so i'm gonna go see if people are playing out at Tabor, hopefully so, but i doubt it.   I am DEFINATELY finishing my chem project today then i'm set to start my around the world paper. Wow I hate school.",4
"Yeah that new Pic Squad CD is very good, listen to number 6, 9, and 15. 6 Is easily the best. Got the teacher recomendations, got pretty much everything i want but 2 ap's and physics is gonna be tough if i'm working (which i most definately will)",4
"Tennis tryouts started, i doubt I'll make it, I got pounded today by some freshman",4
"Well looks like 10 people are getting cut from the tennis team this year, hope i'm not one of them, but if i am I'll just go get a job.",4
